 3.200000e+00  2.000000e+00  3.000000e+00  4.621743e-03
 3.300000e+00  2.000000e+00  3.000000e+00  4.657217e-03
 3.400000e+00  2.000000e+00  3.000000e+00  4.692533e-03
 3.500000e+00  2.000000e+00  3.000000e+00  4.727709e-03
 3.600000e+00  2.000000e+00  3.000000e+00  4.762764e-03
 0.000000e+00  2.400000e+00  3.000000e+00  1.353531e-11
 1.000000e-01  2.400000e+00  3.000000e+00  7.997387e-04
 2.000000e-01  2.400000e+00  3.000000e+00  1.544313e-03
 3.000000e-01  2.400000e+00  3.000000e+00  2.236862e-03
 4.000000e-01  2.400000e+00  3.000000e+00  2.875376e-03
 5.000000e-01  2.400000e+00  3.000000e+00  3.457728e-03
 6.000000e-01  2.400000e+00  3.000000e+00  3.982164e-03
 7.000000e-01  2.400000e+00  3.000000e+00  4.447696e-03
 8.000000e-01  2.400000e+00  3.000000e+00  4.854559e-03
 9.000000e-01  2.400000e+00  3.000000e+00  5.204664e-03
 1.000000e+00  2.400000e+00  3.000000e+00  5.501786e-03
 1.100000e+00  2.400000e+00  3.000000e+00  5.751405e-03
 1.200000e+00  2.400000e+00  3.000000e+00  5.960070e-03
 1.300000e+00  2.400000e+00  3.000000e+00  6.134616e-03
 1.400000e+00  2.400000e+00  3.000000e+00  6.281487e-03
 1.500000e+00  2.400000e+00  3.000000e+00  6.406317e-03
 1.600000e+00  2.400000e+00  3.000000e+00  6.513845e-03
 1.700000e+00  2.400000e+00  3.000000e+00  6.607917e-03
 1.800000e+00  2.400000e+00  3.000000e+00  6.691585e-03
 1.900000e+00  2.400000e+00  3.000000e+00  6.767240e-03
 2.000000e+00  2.400000e+00  3.000000e+00  6.836715e-03
 2.100000e+00  2.400000e+00  3.000000e+00  6.901402e-03
 2.200000e+00  2.400000e+00  3.000000e+00  6.962360e-03
 2.300000e+00  2.400000e+00  3.000000e+00  7.020382e-03
 2.400000e+00  2.400000e+00  3.000000e+00  7.076079e-03
 2.500000e+00  2.400000e+00  3.000000e+00  7.129890e-03
 2.600000e+00  2.400000e+00  3.000000e+00  7.182176e-03
 2.700000e+00  2.400000e+00  3.000000e+00  7.233188e-03
 2.800000e+00  2.400000e+00  3.000000e+00  7.283138e-03
 2.900000e+00  2.400000e+00  3.000000e+00  7.332188e-03
 3.000000e+00  2.400000e+00  3.000000e+00  7.380459e-03
 3.100000e+00  2.400000e+00  3.000000e+00  7.428055e-03
 3.200000e+00  2.400000e+00  3.000000e+00  7.475062e-03
 3.300000e+00  2.400000e+00  3.000000e+00  7.521548e-03
 3.400000e+00  2.400000e+00  3.000000e+00  7.567565e-03
 3.500000e+00  2.400000e+00  3.000000e+00  7.613163e-03
 3.600000e+00  2.400000e+00  3.000000e+00  7.658388e-03
 0.000000e+00  2.800000e+00  3.000000e+00  1.353531e-11
 1.000000e-01  2.800000e+00  3.000000e+00  9.386325e-04
 2.000000e-01  2.800000e+00  3.000000e+00  1.829406e-03
 3.000000e-01  2.800000e+00  3.000000e+00  2.675494e-03
 4.000000e-01  2.800000e+00  3.000000e+00  3.475243e-03
 5.000000e-01  2.800000e+00  3.000000e+00  4.226696e-03
 6.000000e-01  2.800000e+00  3.000000e+00  4.927901e-03
 7.000000e-01  2.800000e+00  3.000000e+00  5.577048e-03
 8.000000e-01  2.800000e+00  3.000000e+00  6.172659e-03
 9.000000e-01  2.800000e+00  3.000000e+00  6.713806e-03
 1.000000e+00  2.800000e+00  3.000000e+00  7.200396e-03
 1.100000e+00  2.800000e+00  3.000000e+00  7.633386e-03
 1.200000e+00  2.800000e+00  3.000000e+00  8.014937e-03
 1.300000e+00  2.800000e+00  3.000000e+00  8.348346e-03
 1.400000e+00  2.800000e+00  3.000000e+00  8.637854e-03
 1.500000e+00  2.800000e+00  3.000000e+00  8.888260e-03
 1.600000e+00  2.800000e+00  3.000000e+00  9.104571e-03
 1.700000e+00  2.800000e+00  3.000000e+00  9.291699e-03
 1.800000e+00  2.800000e+00  3.000000e+00  9.454248e-03
 1.900000e+00  2.800000e+00  3.000000e+00  9.596398e-03
 2.000000e+00  2.800000e+00  3.000000e+00  9.721827e-03
 2.100000e+00  2.800000e+00  3.000000e+00  9.833670e-03
